piece1,piece2,exactotc_cost,entropicotc_cost
bach-book1-fugue14-fsharpminor,chopin-minute-waltz-csharpmajor,0.0343036548494892,0.036818005970434
bach-book1-fugue14-fsharpminor,chopin-nocturne-no20-csharpminor,0.000793634427274428,0.00153700461828645
bach-book1-fugue14-fsharpminor,chopin-nocturne-op9-no2-dsharpmajor,0.0344885420065729,0.035332907158246
bach-book1-fugue14-fsharpminor,chopin-piano-sonata-2-op35-3-funeral-march-asharpminor,0.0354618216341075,0.0380428645439468
bach-book1-fugue14-fsharpminor,chopin-prelude04-eminor,0.0357033968669389,0.0359493476559155
bach-book1-fugue14-fsharpminor,chopin-prelude06-bminor,0.0393151684387334,0.0402633106829311
bach-book1-fugue14-fsharpminor,chopin-prelude07-amajor,0.0372922873110208,0.037697210579974
bach-book1-fugue14-fsharpminor,chopin-prelude15-csharpmajor,0.12839087095604,0.128879311982677
bach-book1-fugue14-fsharpminor,chopin-prelude20-cminor,0.0404687594383214,0.0414695101433453
bach-book1-fugue14-fsharpminor,chopin-waltz-op18-grande-brillante-dsharpmajor,0.0488867922318824,0.0503036405000831
bach-book1-fugue14-fsharpminor,mozart-alla-turca-amajor,0.0277764462653363,0.0286528952323329
bach-book1-fugue14-fsharpminor,mozart-horn-concerto4-3-rondo-dsharpmajor,0.0387600699890409,0.0395907025339708
bach-book1-fugue14-fsharpminor,mozart-minuet-and-trio-k1-gmajor,0.0384699781270069,0.0393643764940387
bach-book1-fugue14-fsharpminor,mozart-minuet-k2-fmajor,0.0386897871655861,0.0394353037584
bach-book1-fugue14-fsharpminor,mozart-osterreichische-bundeshymne-dsharpmajor,0.039153237676694,0.0396886934826084
bach-book1-fugue14-fsharpminor,mozart-piano-concerto-21-2-piano-solo-cmajor,0.0391620693866007,0.0397589545937403
bach-book1-fugue14-fsharpminor,mozart-piano-sonata-k333-movement1-asharpmajor,0.0369504875823873,0.0385293980719682
bach-book1-fugue14-fsharpminor,mozart-sonata-in-cmajor,0.0330438141773597,0.033887797045953
bach-book1-fugue14-fsharpminor,mozart-symphony40-1-piano-solo-gminor,0.0352283800134088,0.0361530927188815
bach-book1-fugue14-fsharpminor,sor-op31-no3-dmajor,0.0388745500808224,0.0395309831781017
bach-book1-fugue14-fsharpminor,sor-op31-no6-eminor,0.0332253151478267,0.0347116239746498
bach-book1-fugue14-fsharpminor,sor-op31-no7-emajor,0.0339506497781625,0.0347525528575562
bach-book1-fugue14-fsharpminor,sor-op32-no3-dmajor,0.0478170012728749,0.0483619483919997
bach-book1-fugue14-fsharpminor,sor-op35-no1-cmajor,0.0371493311136005,0.0380513999992493
bach-book1-fugue14-fsharpminor,sor-op35-no2-cmajor,0.0388157970163425,0.0399051613068832
bach-book1-fugue14-fsharpminor,sor-op60-no1-cmajor,0.0436254528284543,0.0443408488430779
bach-book1-fugue24-bminor,bach-book1-prelude01-cmajor,0.0494523716052552,0.0500961013147967
bach-book1-fugue24-bminor,bach-book1-prelude02-cminor,0.0129545961555617,0.0142592540748151
bach-book1-fugue24-bminor,bach-book1-prelude03-csharpmajor,0.0570817269968069,0.0575170850049981
bach-book1-fugue24-bminor,bach-book1-prelude06-dminor,0.0449986946242895,0.0458126666569254
bach-book1-fugue24-bminor,bach-book1-prelude14-fsharpminor,2.99373763443963e-05,0.000136853819324291
bach-book1-fugue24-bminor,bach-book1-prelude24-bminor,0.00338372813835847,0.00394933395799861
bach-book1-fugue24-bminor,bach-book2-fugue02-cminor,2.79369992641607e-05,0.000118536272109535
bach-book1-fugue24-bminor,bach-book2-fugue07-dsharpmajor,0.0181910998866552,0.0187500361744573
bach-book1-fugue24-bminor,bach-book2-prelude02-cminor,0.0129431996715698,0.0137816732772209
bach-book1-fugue24-bminor,bach-book2-prelude07-dsharpmajor,0.03686514565134,0.0372963951602532
bach-book1-fugue24-bminor,bach-book2-prelude12-fminor,0.00613458681345245,0.00629076859370901
bach-book1-fugue24-bminor,bach-bourree-in-e-minor-piano-eminor,0.0201582943651064,0.0206342944920577
